Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score
5,1971,4.0,1,0,4,1,0,8.11,0,0,164.0,2.75,74.28
5,1420,2.0,2,1,0,1,3,6.41,3,3,147.0,4.41,67.37
5,1709,5.0,4,0,0,1,0,6.65,3,2,163.0,4.71,87.75
1,988,4.0,3,1,0,1,3,6.1,2,2,80.0,2.62,68.36
2,2056,15.0,5,2,3,1,0,3.55,1,1,99.0,2.36,71.08
1,228,2.0,1,2,0,0,2,3.46,0,1,51.0,3.05,71.24
5,1442,5.0,3,0,0,1,0,6.35,3,2,165.0,4.71,90.56
3,380,2.0,2,0,0,1,3,8.12,0,0,128.0,3.11,74.33
1,607,3.923768001056943,2,1,1,1,3,7.54,3,2,162.0,3.76,77.64
5,1879,3.0,1,1,2,1,0,6.14,2,2,154.0,1.58,39.71
1,608,4.0,3,2,0,1,3,6.95,2,2,152.0,2.52,35.86
4,911,4.0,2,1,0,1,0,5.61,0,3,87.0,3.55,84.23
1,189,2.0,3,1,2,1,2,5.96,1,2,117.0,2.26,48.62
1,524,1.0,3,1,0,1,2,3.94,3,1,26.0,4.33,71.44
1,398,1.0,1,2,0,1,3,6.73,1,2,108.0,3.83,60.5
1,194,3.0,2,0,0,1,3,7.41,1,2,157.0,3.77,94.15
4,888,7.0,3,2,0,1,3,6.84,1,2,156.0,3.77,67.28
4,618,6.0,1,1,0,1,0,5.85,3,2,88.0,4.81,72.27
5,2184,3.0,3,1,1,2,0,6.56,2,2,115.0,2.26,74.07
4,933,7.0,3,1,0,1,2,4.72,0,2,419.0,2.89,59.46
1,388,2.0,3,0,0,2,0,4.07,1,2,85.0,4.19,87.7
5,1157,4.0,3,2,2,2,4,6.82,0,2,157.0,1.26,37.85
1,790,4.0,2,2,0,2,3,7.79,3,2,140.0,4.41,67.96
4,898,4.0,2,1,0,2,3,5.86,1,2,86.0,3.87,76.51
1,747,1.0,1,2,0,2,0,8.59,4,0,144.0,2.77,55.55
1,220,2.0,1,2,0,1,2,6.26,3,3,81.0,4.18,74.24
3,299,2.0,1,2,0,1,0,4.54,0,2,96.0,3.55,34.23
5,1373,2.0,4,0,1,1,4,7.35,3,3,107.0,3.2,74.47
1,950,1.0,1,0,4,1,0,7.21,3,2,126.0,4.75,85.48
5,1523,2.0,4,1,0,1,0,6.01,3,2,151.0,4.73,72.09
2,2255,4.0,3,2,0,1,0,5.19,1,3,94.0,4.18,71.29
1,444,3.0,2,1,1,1,0,8.34,1,0,550.0,3.41,70.26
5,2144,2.0,2,0,0,2,0,6.13,3,2,166.0,4.71,93.06
1,988,4.0,3,0,2,1,2,7.64,3,2,152.0,2.83,93.29
0,1453,3.0,3,1,4,1,3,6.22,3,2,109.0,4.46,69.92
1,533,4.0,2,2,0,1,3,3.45,1,3,62.0,3.98,66.94
4,976,4.0,1,2,0,1,4,7.76,2,2,103.0,1.95,30.61
1,109,1.0,1,1,1,1,0,5.33,0,2,94.0,2.92,53.98
1,370,4.0,1,0,0,1,3,4.72,1,2,112.0,3.84,73.36
2,3248,10.0,4,2,4,0,0,5.66,1,2,119.0,4.14,70.37
1,272,2.0,2,0,0,1,0,6.1,3,2,142.0,4.74,84.68
5,2015,3.0,3,1,0,1,0,7.84,3,2,91.0,4.79,74.77
1,771,2.0,3,2,0,1,0,5.04,1,2,101.0,4.17,68.64
1,246,4.0,2,1,1,1,3,7.99,2,2,163.0,1.87,40.54
4,1167,7.0,2,1,1,2,2,3.4,2,3,40.0,1.81,73.03
5,1286,3.0,3,1,0,2,0,7.46,3,2,146.0,4.72,88.99
1,889,3.0,1,1,0,1,2,5.34,1,2,87.0,3.56,83.3
2,3589,12.0,3,0,1,1,3,7.59,3,2,130.0,3.8,86.39
1,355,1.0,2,2,0,1,3,6.66,1,2,151.0,3.78,70.69
1,204,4.0,1,0,0,1,1,7.63,0,2,128.0,3.18,82.95
1,550,2.0,1,1,0,1,0,6.08,3,2,94.0,4.8,71.52
1,940,1.0,1,2,2,1,4,7.84,3,2,162.0,2.5,34.8
5,1364,4.0,4,3,2,1,0,8.31,1,0,128.0,2.8,58.28
1,450,1.0,1,2,0,1,4,8.42,0,0,169.0,2.43,22.56
1,683,2.0,2,0,0,1,0,7.21,0,2,159.0,3.45,80.91
1,567,1.0,2,1,0,1,3,7.47,0,2,164.0,3.13,60.24
5,1824,4.0,1,3,0,1,3,7.71,3,2,148.0,4.41,73.71
5,1612,5.0,4,2,1,1,0,6.96,4,2,95.0,3.54,57.32
1,756,3.923768001056943,1,2,1,1,0,7.45,3,2,149.0,4.09,70.42
3,286,2.0,1,2,1,1,0,6.3,3,2,146.0,4.1,77.95
5,2265,3.0,2,0,0,1,3,5.84,3,2,82.0,4.5,84.93
1,643,3.0,1,2,0,1,0,5.42,3,3,81.0,4.82,68.84
1,473,3.0,1,1,0,2,0,7.58,0,2,92.0,3.54,73.57
5,1259,4.0,3,1,1,1,0,5.34,0,2,116.0,2.89,70.86
5,1463,3.923768001056943,1,1,1,1,3,5.91,1,2,114.0,3.2,66.31
3,487,1.0,1,1,0,1,0,6.69,3,2,127.0,4.75,68.65
5,13015,3.923768001056943,3,0,1,2,2,7.59,3,2,123.0,3.5,93.26
1,687,2.0,3,2,0,2,3,7.0,3,2,141.0,4.42,74.38
1,938,1.0,1,0,0,1,0,5.0,0,2,110.0,3.53,78.13
1,972,2.0,2,1,0,1,3,4.63,0,2,115.0,3.21,68.06
1,373,3.923768001056943,2,1,1,2,0,7.77,3,2,119.0,4.13,80.55
1,289,4.0,2,1,1,1,0,5.43,0,2,110.0,2.9,63.48
1,747,2.0,2,1,4,2,0,6.68,3,2,129.0,4.75,89.62
5,2277,4.0,2,1,1,1,0,8.24,0,0,173.0,2.74,56.48
5,1504,4.0,3,1,1,1,0,6.3,3,2,146.0,4.1,90.76
1,572,3.923768001056943,2,1,0,1,2,6.78,3,0,117.0,4.07,68.38
1,145,3.0,3,2,1,2,0,6.12,1,2,103.0,3.53,69.25
3,243,2.0,2,0,0,1,0,6.63,3,2,782.0,4.81,84.29
4,1295,5.0,3,1,0,1,2,6.63,1,2,151.0,3.47,74.99
1,652,3.0,1,1,1,1,2,6.86,3,2,105.0,3.52,85.76
5,1526,4.0,3,1,1,1,0,5.56,4,2,119.0,4.14,80.13
5,1698,2.0,4,2,0,2,0,6.16,3,2,165.0,4.71,75.44
5,1656,3.0,4,1,0,1,0,6.94,3,2,143.0,4.73,77.14
5,1187,4.0,3,1,0,2,3,6.44,3,2,146.0,4.42,88.23
3,352,0.0,1,0,0,1,3,6.76,3,2,135.0,4.43,79.68
5,1752,4.0,1,1,0,1,0,5.56,0,2,86.0,3.56,74.98
2,13767,12.0,2,2,0,2,0,4.97,0,2,96.0,3.55,85.76
2,2664,8.0,6,1,0,1,0,7.3,3,2,143.0,4.73,80.45
1,759,3.0,2,2,0,2,0,6.58,3,2,155.0,4.72,77.05
5,1135,3.923768001056943,2,1,1,1,0,7.53,3,2,160.0,4.08,93.85
1,828,3.0,3,0,0,1,4,6.32,0,2,134.0,2.55,69.22
5,1486,5.0,4,0,2,1,3,7.35,0,2,158.0,1.88,80.72
3,419,2.0,1,3,1,1,0,6.11,4,2,135.0,3.49,55.34
4,1267,6.0,2,1,0,1,2,5.74,1,2,86.0,3.55,75.54
2,3013,12.0,4,1,0,1,2,5.65,1,2,85.0,3.56,85.5
1,427,3.0,1,0,1,2,2,6.68,3,2,169.0,3.44,87.89
5,1955,4.0,3,1,0,1,3,6.11,3,2,143.0,4.42,71.49
5,2241,4.0,2,2,2,1,3,4.61,3,1,85.0,3.31,70.56
3,381,3.0,1,1,0,1,0,6.37,1,2,83.0,4.18,74.21
1,844,1.0,1,1,1,1,0,7.63,1,2,104.0,3.52,78.63
1,807,1.0,2,1,1,1,0,6.05,2,0,125.0,2.19,30.84
1,269,4.0,1,2,0,1,2,4.19,3,2,112.0,4.16,64.63
1,167,1.0,2,1,0,1,3,6.52,3,2,165.0,4.39,72.8
2,2401,15.0,4,0,0,1,0,7.14,3,2,170.0,4.7,88.62
1,303,4.0,3,2,0,1,0,5.95,1,2,101.0,4.16,64.02
4,977,6.0,3,2,0,1,2,7.9,3,2,84.0,4.17,70.75
1,292,2.0,3,1,0,1,2,4.97,3,2,103.0,4.17,72.7
5,1659,2.0,2,1,0,1,3,6.61,3,2,130.0,4.43,74.24
4,997,4.0,2,1,0,2,0,6.51,3,2,166.0,4.7,90.5
2,1888,11.0,6,1,0,1,2,6.08,3,2,123.0,4.13,73.46
5,1200,5.0,3,1,1,1,3,6.36,1,2,162.0,3.14,82.48
1,261,1.0,3,2,0,1,3,8.25,0,1,188.0,3.16,31.17
2,1848,10.0,6,3,1,1,0,7.15,2,2,135.0,2.23,40.42
2,4111,14.0,4,2,1,1,0,6.21,3,2,161.0,4.08,73.66
1,736,1.0,1,0,0,1,0,6.53,3,2,98.0,4.79,81.71
1,873,1.0,2,2,0,2,3,6.09,0,2,155.0,3.15,74.01
0,1417,5.0,3,1,0,1,2,4.81,0,2,86.0,2.93,71.55
0,274,0.0,2,1,0,1,0,6.53,3,2,163.0,4.71,79.28
3,276,1.0,2,0,3,1,0,5.74,3,2,86.0,2.93,91.12
5,1466,5.0,1,1,1,2,2,4.06,1,2,113.0,2.9,93.12
5,2275,2.0,4,1,0,1,0,8.95,0,0,123.0,3.42,77.31
1,931,4.0,3,1,0,1,0,7.02,3,3,117.0,4.76,72.52
1,956,1.0,3,2,0,1,2,5.9,3,2,115.0,4.14,61.21
2,1887,8.0,3,0,0,2,0,7.52,3,2,140.0,4.73,94.41
1,986,3.0,3,1,0,2,0,5.93,1,2,93.0,4.17,77.61
4,814,6.0,2,2,1,1,0,6.73,3,2,166.0,4.08,71.53
1,852,4.0,2,1,0,2,2,6.22,3,2,163.0,4.08,80.34
5,1395,2.0,1,1,0,2,3,6.53,3,2,144.0,4.42,81.39
4,1201,6.0,1,2,0,2,3,6.2,3,2,163.0,4.4,69.13
2,3082,12.0,5,1,1,2,0,5.04,1,2,104.0,3.54,83.57
4,1164,6.0,3,0,0,1,0,5.46,0,2,115.0,3.52,74.21
5,2097,5.0,1,1,1,1,0,6.78,3,2,137.0,4.11,72.64
2,4184,14.0,4,1,0,1,0,7.3,0,2,127.0,3.49,75.21
5,2200,5.0,3,1,1,1,0,7.23,3,2,85.0,4.17,71.67
1,704,1.0,3,0,0,2,2,7.2,3,2,866.0,4.11,88.21
5,2045,3.0,4,2,0,1,4,5.78,0,2,87.0,2.61,34.26
1,311,4.0,1,2,0,1,0,6.32,2,0,134.0,2.8,35.75
2,3401,8.0,4,1,1,1,0,6.59,3,2,152.0,4.09,74.8
5,1403,3.0,2,0,3,2,0,6.42,2,2,97.0,1.03,74.13
1,885,1.0,2,0,0,1,3,7.41,1,2,108.0,3.83,77.53
5,2249,2.0,2,2,3,1,3,6.3,3,2,87.0,2.61,42.0
5,1921,5.0,3,0,1,1,1,7.3,3,2,143.0,4.1,80.86
4,660,5.0,3,1,0,1,0,6.3,3,2,80.0,4.81,77.04
4,1158,7.0,1,1,3,1,2,7.55,3,1,140.0,2.28,73.02
4,564,5.0,2,1,0,1,3,7.69,3,2,137.0,4.42,93.34
5,1140,5.0,3,1,1,2,3,6.18,1,2,162.0,3.14,73.33
1,640,4.0,2,2,2,1,0,7.46,2,2,104.0,1.64,28.84
1,410,1.0,1,2,0,1,0,5.74,1,2,95.0,4.17,68.37
3,280,3.0,1,1,1,1,3,6.75,3,2,157.0,3.77,70.9
1,937,3.0,1,1,0,2,0,6.59,3,2,149.0,4.73,90.94
1,637,2.0,1,1,4,1,0,6.32,3,2,139.0,4.74,72.81
1,742,3.0,1,2,2,1,0,5.85,1,2,112.0,2.89,48.01
1,679,3.0,3,1,0,1,0,5.58,3,2,80.0,4.82,74.5
1,859,2.0,3,2,1,2,0,6.32,3,2,159.0,4.09,90.19
3,434,3.923768001056943,2,1,1,1,0,6.73,4,1,162.0,3.52,75.63
2,4098,12.0,2,1,1,1,0,7.45,0,2,113.0,2.88,78.44
1,26702,1.0,1,1,0,1,0,7.9,3,2,134.0,4.74,74.72
5,1219,5.0,2,1,0,2,0,6.29,3,2,90.0,4.8,92.61
1,283,4.0,2,1,1,1,0,6.46,0,2,119.0,2.88,56.52
1,930,3.0,1,2,2,1,0,5.9,3,2,103.0,3.53,63.14
1,640,4.0,3,2,0,1,0,6.85,3,2,162.0,4.71,82.29
5,2035,4.0,2,1,1,1,0,6.46,2,2,118.0,2.25,70.09
1,603,3.0,3,2,1,1,0,6.11,3,2,153.0,4.1,77.6
5,1149,2.0,1,1,0,1,2,5.54,0,2,107.0,2.9,60.71
5,2206,4.0,1,2,0,1,0,6.92,3,2,82.0,4.81,83.16
5,1880,5.0,1,0,2,1,3,6.3,2,2,142.0,1.28,75.87
4,1017,7.0,2,1,1,1,0,4.45,1,2,98.0,3.55,86.9
4,974,6.0,3,2,1,1,0,7.65,3,2,133.0,4.11,68.12
5,1250,3.0,2,1,1,1,2,5.19,1,2,97.0,2.92,69.33
5,1873,4.0,4,0,1,1,4,6.29,3,2,113.0,3.2,73.7
1,476,4.0,2,1,1,0,3,7.23,2,2,136.0,1.91,32.54
4,650,6.0,3,1,0,1,0,5.16,1,0,108.0,4.1,85.02
5,1524,2.0,3,2,0,1,3,7.46,3,2,135.0,4.42,66.17
2,1827,4.0,2,2,0,1,0,7.17,1,2,138.0,4.11,65.88
2,2825,7.0,6,1,0,2,0,6.66,3,2,98.0,4.79,91.22
3,385,0.0,2,2,0,1,2,6.86,3,2,161.0,4.08,63.45
2,2055,13.0,3,0,0,0,3,8.41,0,0,168.0,3.06,90.32
1,100,2.0,3,1,1,1,3,4.72,1,2,87.0,3.25,73.25
1,236,4.0,1,1,2,1,0,8.02,3,0,120.0,3.43,75.7
1,825,2.0,1,2,0,1,0,3.89,3,1,74.0,4.9,90.92
2,1974,8.0,2,1,0,1,0,6.43,1,2,129.0,4.12,94.04
0,1245,4.0,3,0,0,1,0,6.22,3,2,136.0,4.74,83.93
1,135,1.0,2,2,0,1,3,8.54,3,1,194.0,4.41,79.62
1,100,1.0,1,2,2,2,0,5.66,3,2,99.0,3.54,79.41
5,1340,4.0,3,1,0,2,0,4.85,1,2,114.0,4.15,84.9
5,1714,3.0,2,0,0,1,0,6.91,3,2,88.0,4.8,89.22
3,360,1.0,2,2,3,1,3,5.23,1,2,90.0,1.98,25.34
5,2126,2.0,4,0,0,1,3,3.7,3,1,1.0,4.68,92.9
1,142,2.0,3,1,3,1,0,6.91,3,2,97.0,2.91,59.83
5,1663,2.0,3,3,0,1,2,7.96,3,2,104.0,4.15,81.98
2,3201,15.0,6,0,1,2,2,6.49,3,2,114.0,3.51,86.51
5,1416,2.0,1,2,1,1,0,6.83,3,2,98.0,4.16,72.66
1,139,4.0,3,2,0,1,2,2.81,4,1,64.0,4.29,73.67
1,554,1.0,3,2,0,1,4,6.26,3,2,119.0,3.82,68.47
1,477,2.0,2,1,2,2,0,5.34,3,2,106.0,3.53,78.24
1,687,4.0,3,1,1,1,2,6.29,1,2,109.0,2.89,64.39
2,2026,14.0,2,1,2,1,0,6.89,1,2,129.0,2.87,80.24
5,2155,5.0,4,1,0,1,0,7.35,1,2,136.0,4.11,83.24
0,4194,12.0,6,1,0,2,0,5.06,1,2,92.0,4.18,87.16
1,499,1.0,1,1,0,1,2,5.46,3,2,106.0,4.16,71.48
5,1637,5.0,4,1,0,1,0,4.96,3,2,90.0,4.81,73.59
1,804,3.0,1,1,0,1,3,5.16,3,2,95.0,4.49,77.67
5,1527,2.0,2,2,0,1,3,5.33,4,2,110.0,4.47,82.59
5,1952,5.0,4,1,3,1,0,7.08,0,2,108.0,1.64,63.93
1,344,3.0,3,3,0,1,2,3.94,3,1,39.0,4.31,85.0
2,3286,14.0,3,0,3,2,2,6.85,3,0,120.0,2.19,81.65
3,281,2.0,1,1,2,1,0,6.03,3,2,154.0,3.47,74.14
4,1054,7.0,2,0,0,1,3,7.25,3,2,152.0,4.4,84.2
5,2015,2.0,2,0,3,1,3,8.1,3,0,137.0,2.47,87.89
4,1268,4.0,3,1,0,1,3,7.98,1,2,161.0,3.76,80.61
1,834,3.0,1,1,1,1,2,8.04,1,0,171.0,2.74,57.75
5,1735,4.0,2,1,0,1,4,5.72,3,2,94.0,3.86,86.46
1,847,1.0,3,1,0,2,3,7.58,3,2,154.0,4.4,81.24
1,978,1.0,2,1,0,2,0,6.57,3,2,121.0,4.76,88.4
5,1772,4.0,1,0,1,1,0,6.12,2,2,96.0,2.28,73.55
5,1525,2.0,3,1,0,2,3,7.26,3,2,134.0,4.43,88.74
5,1432,2.0,1,0,0,1,0,5.16,1,2,111.0,4.15,82.84
1,585,4.0,3,0,1,1,0,5.45,3,2,115.0,4.15,83.8
1,419,2.0,2,1,0,1,0,7.18,3,2,154.0,4.72,67.53
4,659,6.0,1,1,4,1,3,6.71,1,2,159.0,3.77,71.51
1,13367,1.0,3,2,0,2,0,4.76,1,2,81.0,4.19,88.78
1,148,3.0,3,0,0,1,2,8.46,0,0,129.0,2.79,66.48
5,12921,3.0,3,2,1,1,0,5.31,0,2,93.0,2.92,35.15
1,487,1.0,1,0,1,2,0,7.37,2,2,164.0,2.19,84.69
4,429,6.0,1,3,0,1,3,5.89,3,2,113.0,4.46,71.21
5,1626,4.0,1,2,0,1,0,2.96,3,1,34.0,4.95,88.14
1,546,3.0,1,0,0,1,3,5.8,1,2,83.0,3.87,73.67
1,385,3.0,1,2,1,2,0,6.75,3,2,128.0,4.12,91.32
2,4054,6.0,6,0,1,1,0,4.08,1,2,97.0,3.55,81.87
2,2199,9.0,6,1,0,1,0,6.8,3,2,107.0,4.78,79.2
5,1906,3.0,1,2,3,1,2,6.1,3,2,168.0,2.19,38.22
5,1289,5.0,3,1,0,1,2,7.99,3,2,140.0,4.1,80.38
5,1127,2.0,1,1,1,1,2,4.73,0,2,120.0,2.26,60.61
1,200,2.0,2,0,4,1,0,7.49,3,2,102.0,4.78,79.62
5,1673,3.0,4,3,1,1,0,8.27,3,0,183.0,3.98,77.2
5,1558,3.923768001056943,2,1,0,1,4,7.65,3,2,127.0,3.8,74.18
1,554,4.0,1,2,2,1,3,6.18,3,2,127.0,3.19,68.47
1,139,2.0,3,1,1,1,2,6.56,3,3,89.0,3.55,62.55
4,1050,5.0,2,0,2,1,3,5.13,1,2,89.0,2.61,78.57
4,1188,6.0,3,1,0,1,0,6.46,3,2,133.0,4.75,75.32
5,1729,4.0,1,2,1,1,2,6.61,1,2,127.0,2.87,40.4
4,1052,4.0,3,1,0,1,2,7.5,3,2,100.0,4.15,82.53
4,439,4.0,3,1,0,1,3,7.2,3,2,141.0,4.42,86.91
5,1264,5.0,2,1,0,1,0,5.65,3,2,83.0,4.81,71.76
1,503,3.923768001056943,2,1,0,1,0,6.55,3,0,81.0,4.75,91.74
4,443,4.0,3,1,0,1,2,8.47,3,0,129.0,4.05,74.43
3,460,1.0,1,0,1,2,2,4.85,0,2,99.0,2.29,69.04
2,2671,4.0,4,2,1,1,3,7.81,3,2,123.0,3.81,66.43
4,876,6.0,1,2,0,2,0,7.66,3,2,151.0,4.72,79.56
5,2005,4.0,3,1,0,1,0,6.02,3,2,84.0,4.81,77.65
2,3688,5.0,5,2,1,1,2,5.52,1,2,89.0,2.92,52.46
1,341,3.0,1,3,0,1,0,6.46,3,2,95.0,4.79,69.05
5,1378,5.0,1,0,3,2,3,7.32,3,2,107.0,2.58,83.85
5,2143,3.0,3,1,0,1,2,5.16,3,2,81.0,4.19,85.99
4,846,6.0,3,1,4,2,2,7.12,1,2,91.0,3.54,76.94
5,1369,3.0,3,1,0,2,0,7.66,1,2,167.0,4.07,84.45
5,1259,4.0,4,2,0,1,0,7.53,3,2,136.0,4.74,86.3
5,1576,3.923768001056943,2,0,1,2,0,6.73,3,2,134.0,4.12,88.26
5,1999,3.0,3,0,0,2,0,4.94,1,2,87.0,4.19,85.25
5,1592,3.0,2,1,0,1,0,5.34,1,2,81.0,4.19,73.97
5,1639,4.0,3,1,1,1,3,6.06,3,2,144.0,3.79,75.89
4,772,6.0,3,1,0,1,0,5.74,3,2,103.0,4.79,74.65
1,625,1.0,3,1,0,1,2,6.83,1,2,152.0,3.46,67.25
4,1134,5.0,2,2,0,2,2,6.05,1,2,148.0,3.47,73.71
2,1835,7.0,4,1,0,1,3,7.08,3,2,163.0,4.39,75.93
5,2147,2.0,2,1,1,1,3,7.01,3,2,89.0,3.86,80.5
2,3476,7.0,5,2,0,1,0,8.82,1,0,147.0,4.02,79.35
1,814,1.0,3,0,0,1,4,5.03,3,2,112.0,3.84,73.57
5,1683,4.0,2,1,0,1,3,6.03,3,2,155.0,4.41,72.71
1,684,3.0,1,1,0,1,4,5.51,0,3,92.0,2.61,60.28
1,196,1.0,3,2,0,1,3,7.17,0,2,154.0,3.15,27.89
4,805,4.0,2,2,0,2,3,5.79,0,2,113.0,3.21,73.73
5,2152,5.0,4,1,1,1,4,8.13,3,0,192.0,3.03,72.47
1,686,1.0,1,1,1,1,4,5.13,0,0,115.0,1.89,36.27
4,901,5.0,3,1,0,1,2,7.15,1,2,90.0,3.54,77.36
1,647,2.0,1,1,0,1,3,6.98,3,2,106.0,4.46,86.96
4,727,5.0,3,1,0,2,3,7.24,3,2,126.0,4.44,83.61
1,113,3.0,3,2,1,2,2,7.34,2,2,139.0,1.59,28.81
2,3531,13.0,2,1,2,1,0,4.21,1,2,101.0,2.92,72.54
5,1927,5.0,4,1,1,1,3,7.06,2,2,109.0,1.95,47.92
1,156,1.0,3,0,0,1,2,6.2,3,2,85.0,4.18,74.33
5,2212,3.923768001056943,2,0,0,2,2,5.79,1,3,103.0,3.53,84.61
2,1905,12.0,3,1,0,2,0,5.67,1,2,111.0,4.15,84.42
2,3932,11.0,2,1,0,1,3,6.25,3,2,138.0,4.43,75.43
5,1528,3.0,3,0,4,2,0,7.17,1,2,170.0,4.07,95.98
2,3577,4.0,3,0,4,2,2,4.6,1,2,88.0,3.56,89.93
1,137,1.0,1,2,0,1,3,6.61,3,2,84.0,4.49,72.08
4,707,5.0,2,0,0,1,3,5.93,1,2,120.0,3.82,74.97
1,545,1.0,2,2,0,1,2,7.69,0,2,158.0,2.82,34.82
1,477,2.0,2,0,0,2,0,6.31,1,2,105.0,4.15,95.17
5,2150,4.0,1,1,2,1,0,6.66,3,2,121.0,3.5,74.76
5,1164,4.0,3,1,0,1,0,6.39,3,1,160.0,4.78,80.08
1,987,4.0,3,0,0,1,0,6.81,3,3,103.0,4.78,84.38
2,2267,9.0,3,2,1,1,0,7.6,3,2,166.0,4.07,79.84
3,445,0.0,1,1,1,1,0,4.28,1,2,85.0,3.56,71.97
1,451,3.0,2,1,0,2,0,7.75,2,2,96.0,2.9,81.51
2,3566,15.0,5,2,0,1,0,5.45,1,2,102.0,4.16,83.36
4,843,6.0,1,1,0,1,0,4.81,3,2,114.0,4.78,71.49
3,369,0.0,2,1,0,1,0,6.05,3,2,170.0,4.7,92.48
4,848,5.0,3,2,1,1,0,6.8,0,2,85.0,2.92,31.25
1,662,1.0,2,1,0,1,0,6.33,3,2,121.0,4.76,75.14
1,633,4.0,2,1,1,1,3,6.1,3,2,102.0,3.85,78.05
5,1379,5.0,1,1,1,1,3,5.13,1,2,82.0,3.25,66.85
5,2085,5.0,1,1,0,1,3,7.79,3,2,170.0,4.38,68.5
5,1546,4.0,1,2,0,1,0,7.78,1,2,98.0,4.15,80.38
1,400,2.0,1,2,0,1,0,7.2,0,2,170.0,3.44,47.6
3,452,0.0,1,1,0,2,0,5.15,1,2,113.0,4.15,75.79
1,510,1.0,1,1,1,1,0,5.92,1,2,93.0,3.54,67.53
0,283,2.0,2,1,0,1,3,4.33,1,2,114.0,3.84,71.67
1,728,1.0,1,2,0,2,0,6.23,2,2,150.0,2.84,59.0
4,1156,4.0,2,1,0,2,4,7.27,3,2,118.0,3.82,76.44
1,623,1.0,3,1,0,1,3,5.75,3,2,100.0,4.48,85.22
1,875,1.0,3,1,0,1,0,7.26,3,2,109.0,4.77,73.46
3,463,1.0,1,1,0,2,3,2.83,0,1,18.0,3.41,76.66
2,3075,12.0,2,0,0,1,4,7.13,2,2,151.0,1.9,82.26
5,1520,2.0,2,3,2,2,3,6.66,1,2,159.0,2.52,73.67
5,1452,2.0,1,0,1,1,0,7.22,0,2,110.0,2.89,78.01
5,1681,2.0,3,1,0,1,2,5.03,3,2,100.0,4.17,84.39
1,780,4.0,2,0,2,1,0,8.21,2,0,140.0,1.53,69.69
5,2165,5.0,2,2,4,1,0,4.35,3,2,105.0,4.17,81.47
4,532,7.0,3,2,0,1,0,7.32,1,2,120.0,4.13,77.81
5,1265,4.0,4,0,2,1,0,7.64,3,2,143.0,3.47,75.63
1,504,4.0,1,1,1,1,3,8.03,3,0,133.0,3.73,83.03
1,667,2.0,2,1,1,1,2,6.51,3,2,90.0,3.54,70.48
5,1730,2.0,2,0,0,1,3,6.07,3,2,125.0,4.44,80.44
1,775,2.0,3,1,0,2,0,7.99,0,2,126.0,3.49,69.85
1,826,1.0,3,2,3,1,4,5.74,0,2,94.0,0.72,10.12
5,1641,4.0,2,1,0,1,3,6.55,3,3,138.0,4.43,74.86
1,361,4.0,1,0,2,1,3,6.45,3,2,118.0,3.2,81.29
1,814,4.0,1,1,0,1,3,5.9,0,2,101.0,3.22,79.55
1,940,1.0,3,1,0,2,3,7.25,3,2,105.0,4.46,82.39
4,552,5.0,1,1,0,2,0,7.26,3,2,156.0,4.71,86.87
5,1853,3.0,4,1,0,1,0,7.11,1,2,98.0,4.16,85.11
4,553,6.0,1,1,2,2,2,8.15,3,0,190.0,2.72,83.67
4,972,4.0,2,1,3,2,3,3.3,1,1,95.0,2.05,76.96
3,425,1.0,2,2,0,1,0,6.98,0,2,108.0,3.52,43.66
1,305,4.0,2,0,1,1,3,5.85,0,2,96.0,2.6,75.99
1,449,3.923768001056943,2,1,0,1,3,6.16,1,2,114.0,3.83,66.51
5,2073,5.0,1,0,0,1,0,5.81,1,1,107.0,4.22,82.07
3,485,3.0,2,1,1,1,0,6.05,3,2,166.0,4.08,75.51
1,954,4.0,2,1,2,1,3,6.11,0,2,157.0,1.89,32.53
5,2200,3.0,4,2,0,1,2,6.19,2,2,125.0,2.25,33.36
1,962,3.0,3,2,1,1,0,7.84,1,2,166.0,3.44,55.85
1,397,1.0,2,0,1,1,0,7.86,3,2,143.0,4.1,79.15
5,1127,5.0,3,1,0,1,2,7.23,1,2,156.0,3.46,78.95
1,772,3.923768001056943,3,0,0,1,3,7.9,3,2,157.0,4.39,78.7
5,1479,3.0,1,1,0,1,0,5.94,0,2,109.0,3.52,81.27
5,1259,4.0,1,1,0,1,2,4.29,4,2,86.0,2.94,78.04
2,3058,6.0,5,2,0,1,0,5.68,3,2,97.0,4.8,84.94
5,10277,3.0,4,3,4,1,2,5.46,0,2,80.0,2.94,74.73
1,193,3.923768001056943,3,0,0,1,0,5.42,1,2,116.0,4.15,77.75
5,1650,2.0,4,1,0,1,3,8.19,0,2,148.0,3.15,64.86
1,658,1.0,3,2,0,2,2,5.75,1,2,85.0,3.56,83.81
1,109,2.0,2,1,0,1,0,5.85,3,2,95.0,4.8,93.78
1,945,3.0,3,1,0,1,3,7.8,3,2,137.0,4.42,90.0
5,1752,4.0,2,1,0,1,0,5.83,1,2,119.0,4.14,93.25
5,1332,4.0,1,1,0,0,0,7.97,3,2,96.0,4.78,76.92
5,1130,5.0,4,1,0,1,0,4.84,1,2,97.0,4.17,82.44
1,554,2.0,3,0,1,1,0,5.54,0,2,100.0,2.91,78.78
